anime_id,title,title_english,synopsis,genres,status,score,scored_by,type,source,episodes,popularity,members,rank,favorites,season,year
55848,Isekai Suicide Squad,Suicide Squad Isekai,"The Joker and his best girl, Harley Quinn, are tearing through the streets of Gotham with sacks full of cash and the law in hot pursuit. Unfortunately for them, though the jester manages to escape, the night ends with Harley being captured by a mysterious, katana-wielding woman.

Meanwhile, Amanda Waller, the head of the government security organization A.R.G.U.S., has commandeered a team of supervillains for a ruthless mission into another world. After losing contact with the first suicide squad sent through the portal, Amanda sends Deadshot, Peacemaker, Clayface, King Shark, and Harley as replacements. However, shortly after entering the portal, their helicopter crashes in the middle of a battle between horse-mounted troops and vicious orcs.

With all of the accompanying A.R.G.U.S. members dead on impact, the villains break free of their shackles and rampage through the army of orcs, unwittingly aiding the human soldiers—only to be rewarded with imprisonment. Now bound by magic-infused shackles, Harley and company must hurry back to the portal they came from, or else the bombs A.R.G.U.S. implanted in their necks will detonate.

[Written by MAL Rewrite]","Action, Fantasy",Finished Airing,6.51,37323,TV,Other,10,1671,142556,6907,555,summer,2024
54724,Nige Jouzu no Wakagimi,The Elusive Samurai,"Tokiyuki Houjou, a carefree eight-year-old noble, is content with the serene life in Kamakura and shows little regard for the serious responsibilities that come with his eventually succeeding his father as the next shogun. Instead of dedicating himself to rigorous training in swordsmanship or archery, Tokiyuki excels in the art of evasion, skillfully dodging his advisors and discovering perfect hiding spots. However, his peaceful existence is shattered when a sudden coup brutally wipes out his clan.

Overwhelmed with guilt for being the sole survivor, Tokiyuki contemplates joining his family in death. However, his fate takes an abrupt turn when the enigmatic priest Yorishige Suwa suddenly shoves him onto a battlefield. Yorishige, who prophesies that Tokiyuki will one day become a great hero, leaves the boy with no choice but to navigate his way free of enemy soldiers. As Tokiyuki struggles to survive against these foes, he finds a new thrill in raising the stakes of his usual hide-and-seek games.

With a renewed sense of purpose and the promise of powerful allies from Yorishige, Tokiyuki vows to avenge his family—not through his capability to fight, but through his extraordinary talent for running away.

[Written by MAL Rewrite]","Adventure, Comedy",Finished Airing,7.86,46766,TV,Manga,12,1674,141830,892,568,summer,2024
57058,"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",I Parry Everything,"The Kingdom of Clays faces a dire crisis: an assassination attempt has just been made on its own Princess Lynneburg, and its neighboring countries eye the aftermath like starving vultures, plotting the Kingdom's downfall. The ensuing conflict will shape the face of the continent for centuries to come...but Noor doesn't have a clue about any of that! Having freshly arrived at the royal capital after over a decade of rigorous, isolated training at his mountain home, he's dead set on achieving his childhood dream of becoming an adventurer, even if the only skills he possesses are useless ones. Sure, he can ""Parry"" thousands of swords in the span of a single breath, but everybody knows you need more than that if you want to be an adventurer! Our hero's road to making his dream come true will be long(?) and arduous(?)—but if there's one thing Noor's not afraid of, it's some good ol' fashioned hard work!

(Source: J-Novel Club)","Action, Adventure, Fantasy",Finished Airing,6.92,58453,TV,Light novel,12,1689,140381,4684,486,summer,2024
49785,Fairy Tail: 100-nen Quest,Fairy Tail: 100 Years Quest,"For over one hundred years, a special quest has been waiting for a wizard skilled enough to complete it. On the northern continent of Guiltina, there are five immensely powerful Dragon Gods who possess great destructive force that can only be quelled by sealing them away. Natsu Dragneel and his friends from the Fairy Tail guild—Lucy Heartfilia, Gray Fullbuster, Erza Scarlet, Wendy Marvell, and the exceeds Happy and Charlés—consider this the perfect challenge to take on.

The Fairy Tail mages are not the only ones searching for the Dragon Gods. Diabolos, a guild exclusive for ""Dragon Eaters,"" seeks to enhance their Dragon Slayer magic by devouring the dragons. Meanwhile, Fairy Tail's newest addition, Touka, appears to be hiding something sinister from her new companions—and her secrets may bring disaster to the guild while its strongest wizards are away.

[Written by MAL Rewrite]","Action, Adventure, Fantasy",Currently Airing,7.86,14042,TV,Web manga,,1698,139785,880,1544,summer,2024
54913,"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.","The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible","Determined to pursue his glorious childhood dreams, 30-year-old Rick Gladiatol, a modest clerk in the adventurers' guild, is offered a once-in-a-lifetime opportunity after he fatefully encounters the dark elf Reanette Elfelt. Reanette happens to be an elite adventurer of the legendary party Orichalcum Fist, whose members welcome Rick under the condition that he follow a Spartan training.

Two years later, Rick is finally ready to take the E-Rank exam officially qualifying him as an adventurer. However, raw magical power can only be developed until one turns 20. As such, Rick faces the general hostility of fellow participants and examiners alike, leaving him no choice but to show the world that his hellish training has turned him into an invincible warrior.

[Written by MAL Rewrite]","Action, Adventure, Fantasy",Finished Airing,7.38,56782,TV,Light novel,12,1854,124421,2406,395,summer,2024
57876,Maougun Saikyou no Majutsushi wa Ningen datta,The Strongest Magician in the Demon Lord's Army Was a Human,"Under the tutelage of the great demon warlock Romberg, Ike grew up with knowledge regarding an ancient advanced civilization that once ruled the land. Coupled with his innate talent in magical arts, this upbringing allows Ike to quickly rise in the Demon Lord's army ranks, leading his brigade to consecutive victories against humans.

However, Ike has a secret—he is a human himself. Despite knowing all too well the consequences if this information is ever to leak, Ike is willing to face such immense danger to achieve his goal: find a way for humans and demons to coexist and stop the war that has been carried on for far too long.

[Written by MAL Rewrite]","Action, Adventure, Fantasy",Finished Airing,6.41,40464,TV,Manga,12,2015,111809,7542,361,summer,2024
53802,2.5-jigen no Ririsa,2.5 Dimensional Seduction,"After a disastrous romantic confession, Masamune Okumura finds solace in the fictional world of anime and manga. Now a second-year high school student and the president of the Manga Research Club, Masamune spends a peaceful existence watching the adventures of the angel Liliel, his favorite character.

In the beginning of the academic year, Masamune’s life is turned upside down when he meets first-year student Ririsa Amano, a passionate cosplay practitioner. Despite Masamune's initial reluctance, the determined young woman manages to convince him to become her personal photographer for the production of a collection dedicated to their common favorite character: Liliel.

As Masamune enthusiastically discovers the world of cosplay and photo editing, he is unexpectedly reunited with his childhood friend Mikari Tachibana, who has become a model in the hope of impressing her beloved upperclassman. Realizing that modeling is not enough to intrigue the hopeless otaku, Mikari decides to join the club and become a cosplayer herself, all to finally have a chance at winning Masamune's heart. However, Masamune's love for fictional characters may not be capable of extending to those who impersonate them.

[Written by MAL Rewrite]","Comedy, Ecchi",Currently Airing,7.06,15998,TV,Manga,24,2114,103832,4041,545,summer,2024
56062,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,Why Does Nobody Remember Me in This World?,"In a war against four overpowered races—angels, demons, undeads, and humanoid beasts—humanity could only prevail thanks to its champion Sid, who defeated the other races' champions and sealed away their armies in four pyramids. In an age where Sid's existence has become but a legend of the past, Kai Sakura Vento is one of the many conscripts tasked with monitoring the pyramids in fear that these old foes would escape.

On a peaceful day while spending time with his friend Jeanne E. Anise, the world is suddenly ""overwritten,"" transporting Kai to an alternate reality where humanity has nearly been annihilated by the demons and forced into hiding. To make matters worse, his very existence has been erased from this world; all of his friends, including Jeanne, who leads the local resistance efforts in this world, have forgotten about him.

Trying to investigate the remains of his former world, Kai encounters Rinne, an enigmatic young woman trapped in a pyramid. Mysteriously inheriting Sid's legendary sword Codeholder, Kai manages to free Rinne from her imprisonment. Determined to fix this reality, Kai joins forces with Rinne and Jeanne to free humanity from demonic rule. But if the valiant soldier wants to have a chance at returning to his original world, he will first have to uncover the cause behind the mysterious alteration of reality.

[Written by MAL Rewrite]","Action, Fantasy, Sci-Fi",Finished Airing,6.27,30438,TV,Light novel,12,2172,99988,8359,323,summer,2024
57810,Shoushimin Series,Shoshimin: How to Become Ordinary,"Jougorou Kobato has a habit of inserting himself into other people's problems. After realizing his detective skills are neither wanted nor appreciated, he makes an agreement with his shy friend Yuki Osanai to become ordinary together. Now entering high school, they aim to be perceived as regular people, yet Kobato cannot help but fall back into his deductive ways when faced with everyday mysteries.

Unfortunately, mundane occurrences are not all the duo stumbles across. As they go through their school days trying to avoid drawing attention to themselves, Kobato and Osanai at times get caught up in incidents that put their plan of a peaceful, average life at risk.

[Written by MAL Rewrite]",Mystery,Finished Airing,7.31,27954,TV,Novel,10,2249,94978,2713,412,summer,2024
49981,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",Our Last Crusade or the Rise of a New World Season 2,"Over a century ago, astral mages under persecution from the Empire banded together and established the Nebulis Sovereignty under three founding families: Lou, Hydra, and Zoa. With the leadership of Millavair Lou Nebulis VIII, the Sovereignty aims to minimize casualties in their conflict with the Empire—a stance the extremist Zoas disagree with. Tensions rise between the families as the upcoming election to decide the next leader approaches. The Zoas are willing to do anything to achieve success; however, a world-ending war may ensue should they be victorious.

Princess Aliceliese ""Alice"" Lou Nebulis XI has no choice but to cooperate with any potential allies in order to advance towards her ultimate goal of ending the conflict that has long tormented everyone involved. This includes Iska—one of the Empire's greatest warriors and her greatest rival.

[Written by MAL Rewrite]","Action, Fantasy, Romance",Currently Airing,6.74,5982,TV,Light novel,12,2408,84207,5602,488,summer,2024
56063,NieR:Automata Ver1.1a Part 2,NieR:Automata Ver1.1a (Cour 2),"As the machine war progresses, YoRHa Command and the Resistance prepare for a final decisive assault against the ""Machine Lifeforms,"" the militarized robots who roam the earth's surface. While preparations are underway, YoRHa 9-gou S-gata ""9S"" and YoRHa 2-gou B-gata ""2B"" continue their advanced scouting mission. However, 9S and 2B struggle with their respective roles, their loyalty to each other, and their loyalty toward Command.

Although the nefarious Adam and Eve have been defeated, it appears the machines are not down for the count. An ominous presence in the form of the ""Red Girl"" continues to observe the androids from afar, waiting for the perfect opportunity to attack them.

[Written by MAL Rewrite]","Action, Fantasy, Sci-Fi",Finished Airing,8.03,20464,TV,Game,12,2451,82035,622,344,summer,2024
57217,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,The Magical Girl and the Evil Lieutenant Used to Be Archenemies,"An evil army is leading a ground invasion against Earth, and their Lieutenant Shun Miller is determined to wreak havoc upon the populace. Miller's ruthless reputation strikes fear even into the hearts of his own subordinates, making him the perfect leader of a charge against a city protected by a powerful magical girl, Byakuya Mimori. However, his attack comes to a halt on the day of their first encounter—because he unexpectedly falls in love with Byakuya at first sight!

Overcome by Byakuya's adorably delicate innocence, Miller begins to shower her with gifts and kindness. But Miller soon learns that Byakuya's Angel—the cat-like familiar who turned her into a magical girl—has been exploiting and manipulating her all along. This discovery solidifies Miller's resolve to ensure Byakuya goes on to lead a happier life, but as the war continues, they wonder if their blossoming affection can overcome the reality of their differences.

[Written by MAL Rewrite]","Comedy, Romance",Finished Airing,7.61,23667,TV,Manga,12,2571,75755,1528,334,summer,2024
57864,Monogatari Series: Off & Monster Season,Monogatari Series: Off & Monster Season,"Koyomi Araragi spent his last year of high school helping girls in his town resolve various supernatural afflictions. But now Araragi has departed for university, leaving his friends to fend for themselves against new problems and curses that plague them. Yotsugi Ononoki, once a human corpse and now a living doll, takes residence in Araragi's home, keeping watch over his sister Tsukihi, a girl harboring a mystical secret of her own. As part of her duties, Yotsugi fills Araragi's vacated role as occult expert, assisting others in town with their issues.

One of these girls, middle school student Nadeko Sengoku, slowly recovers from her own recent brushes with the paranormal. She avoids returning to school, instead spending time alone in her room and pursuing her dream of becoming a professional manga artist. In order to speed up Nadeko's quest for mastery of her craft, Yotsugi convinces her to create four copies of herself, each representing a distinct aspect of Nadeko's personality. However, the clones refuse to help Nadeko, instead escaping into the town and creating a chaotic mess. Now forced to grapple with her own fractured sense of identity, Nadeko sets out to capture them and resolve her inner conflict.

[Written by MAL Rewrite]","Comedy, Mystery, Supernatural",Finished Airing,8.96,14921,ONA,Light novel,14,2641,72435,16,672,,
56538,Kimi ni Todoke 3rd Season,Kimi ni Todoke: From Me to You Season 3,"Summer is in full swing, and so is the love between Sawako Kuronuma and Shouta Kazehaya. From attending summer school together to meeting each other's parents, the two enjoy quality time together while tackling the feelings of self-doubt and emotional strain that come with their newfound love.

Meanwhile, Sawako's close friends, Chizuru Yoshida and Ayane Yano, struggle through their own romantic dilemmas as their past experiences with relationships clash with their present feelings. Full of inner turmoil, the youngsters' desire for intimacy persists through their second year of high school as they weave through the labyrinth of indecision and insecurity that is love. 

[Written by MAL Rewrite]","Drama, Romance",Finished Airing,8.56,17773,ONA,Manga,5,2652,72160,111,563,,
54855,Senpai wa Otokonoko,Senpai is an Otokonoko,"Much like the other students at her school, first-year student Saki Aoi finds herself captivated by the beauty of her senior on the school board, Makoto Hanaoka. While she worries that Hanaoka would be uncomfortable receiving a confession from another girl, Aoi musters up the courage to tell her anyway. However, Hanaoka's response surprises Aoi for a completely different reason—Hanaoka is actually a cross-dressing boy!

Fully expecting Aoi to be abhorred by this revelation, Hanaoka is shocked to find that she has no issues with it. Though Hanaoka rejects Aoi's request to go out with her—citing his identity and the fact that he has never fallen in love before—Aoi insists that she will become his first love. Taken aback by Aoi's determination, Hanaoka wonders if he can really fall in love with her if he cannot find it in him to truly love himself first.

[Written by MAL Rewrite]","Drama, Romance",Finished Airing,7.33,18951,TV,Web manga,12,2757,67443,2625,341,summer,2024
48896,Overlord Movie 3: Sei Oukoku-hen,Overlord: The Sacred Kingdom,"The Sacred Kingdom has enjoyed a great many years without war thanks to a colossal wall constructed after a historic tragedy. They understand best how fragile peace can be. When the terrible demon Jaldabaoth takes to the field at the head of a united army of monstrous tribes, the Sacred Kingdom's leaders know their defenses are not enough. With the very existence of the country at stake, the pious have no choice but to seek help wherever they can get it, even if it means breaking taboo and parlaying with the undead king of the Nation of Darkness!

(Source: Yen Press)","Action, Adventure, Fantasy",Finished Airing,7.58,636,Movie,Light novel,1,2776,66677,1628,269,,
53128,Atri: My Dear Moments,Atri -My Dear Moments-,"In the near future, a sudden and unexplained sea rise has left much of human civilization underwater. Ikaruga Natsuki, a boy who lost his mother and his leg in an accident some years earlier, returns disillusioned from a harsh life in the big city to find his old countryside home half-swallowed by the sea. Left without a family, all he has to his name is the ship and submarine left to him by his oceanologist grandmother, and her debts.

His only hope to restore the dreams for the future that he has lost is to take up an opportunity presented to him by the suspicious debt collector Catherine. They set sail to search the sunken ruins of his grandmother's laboratory in order to find a treasure rumor says she left there. But what they find is not riches or jewels; it is a strange girl lying asleep in a coffin at the bottom of the sea. Atri.

Atri is a robot, but her appearance and her wealth of emotions would fool anyone into thinking she's a living, breathing human being. In gratitude for being salvaged, she makes a declaration to Natsuki: ""I want to fulfill my master's final order. Until I do, I'll be your leg!""

In a little town slowly being enveloped by the ocean, an unforgettable summer is about to begin for this boy and this mysterious robot girl... 

(Source: Aniplex.EXE, edited)","Drama, Romance, Sci-Fi",Finished Airing,7.19,15731,TV,Visual novel,13,2781,66297,3353,327,summer,2024
57380,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,A Journey Through Another World: Raising Kids While Adventuring,"Due to a careless mistake, god of wind Silphyleel unintentionally kills a 28-year-old man named Takumi Kayano. Unfortunately, Silphyleel cannot return Takumi to Earth. Instead, the deity reincarnates Takumi into the fantasy world of Etelldia.

Equipped with an assortment of magical powers and bottomless inventory, Takumi spawns in the Forest of Gaia, where high-level monsters roam free. There, he meets five-year-old twins who, despite the dangerous environment, are still alive thanks in part to their extraordinary physical strength. Takumi decides to take them under his wing, naming them Allen and Elena. As the trio embarks on their grand adventure in Etelldia, their very existence may impact the world's destiny.

[Written by MAL Rewrite]","Adventure, Fantasy, Slice of Life",Finished Airing,6.66,24770,TV,Light novel,12,2792,65818,6038,246,summer,2024
57646,Mob kara Hajimaru Tansaku Eiyuutan,A Nobody's Way Up to an Exploration Hero,"Meet Kaito Takagi, your typical high schooler with a low profile. He spends his days exploring dungeons in Japan, hunting slimes for some extra cash. On the side, he quietly admires his childhood friend, the popular girl in class. One day, a rare golden slime shows up, and after Kaito defeats it, he finds a super valuable item—a card that can summon mythical beings! He decides to use it and summons a stunning warrior maiden. Now, Kaito has a chance to rise above his ordinary explorer life. Get ready for a modern fantasy story filled with battles!

(Source: MAL News)","Action, Adventure, Fantasy",Finished Airing,5.83,23010,TV,Light novel,12,2878,62402,10612,139,summer,2024
55749,Megami no Café Terrace 2nd Season,The Café Terrace and Its Goddesses Season 2,"It has been months since Hayato Kasukabe decided to save his late grandmother's cafe, Familia Café Terrace, from permanently closing its doors. He and the five ""goddesses"" who serve as the cafe's mascots—Ouka Makuzawa, Akane Hououji, Riho Tsukishima, Shiragiku Ono, and Ami Tsuruga—persevere through all the hardships of maintaining a business to stay afloat for as long as possible.

Rougher times await them when a new competitor cafe, Family, appears with the sole intent of bringing Familia down. To come out on top of this business competition, Hayato must use his wits, fortify his trust in the girls, and figure out how to entice customers to continue supporting Familia.

To further complicate matters, the girls slowly begin to develop feelings for Hayato, causing tensions within the group. As this can potentially pose an even greater threat to Familia's survival, the five goddesses need to find a way to compromise and unite at all costs.

[Written by MAL Rewrite]","Comedy, Romance, Ecchi",Finished Airing,7.37,20472,TV,Manga,12,2887,62251,2455,332,summer,2024
56449,Madougushi Dahliya wa Utsumukanai,Dahlia in Bloom: Crafting a Fresh Start with Magical Tools,"Tragically perishing from overwork, a young Japanese woman is reborn as Dahliya Rossetti, daughter of a newly entitled baron. Her father, Carlo, is a beloved magic artificer, a maker of magical tools. Inspired by him, Dahliya uses her memories from her previous life to create practical inventions and become a magic artificer like Carlo.

A few years later, the now adult Dahliya has made a name for herself and has gotten engaged to her father's apprentice. However, her life takes a turn for the worse when Carlo suddenly passes away and her fiancé leaves her for another woman not long after. Although having to fend for herself, Dahliya is not quite ready to give up on her dream of becoming a master artificer yet. She may be a single woman but, with the help from old and new allies, she is prepared to overcome any obstacle in her way.

[Written by MAL Rewrite]","Fantasy, Slice of Life",Finished Airing,6.81,19438,TV,Light novel,12,2952,59554,5218,147,summer,2024
54284,VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,"Third-generation VTuber Awayuki Kokorone's fans know her as a prim, proper, and graceful idol. Though she has considerably less fans compared to other VTubers in the Live-On agency, Awayuki's loyal following supports her every step of the way.

One night, Awayuki forgets to turn her livestream off—a blunder that changes the trajectory of her online career forever. Contrary to her usual angelic persona, her genuine brutish personality is exposed to more than ten thousand people who tuned in. Awayuki reveals that she is nothing more than a severe alcoholic who spouts profanities nonstop, constantly viewing her fellow VTubers with lustful admiration.

However, instead of being reprimanded by her agency, Awayuki receives praise: her unhinged, disorderly conduct was Live-On's actual expectation of her. Now having her big break and permission to stream without holding anything back, the once-unpopular VTuber begins her rise to stardom.

[Written by MAL Rewrite]",Comedy,Finished Airing,7.11,17581,TV,Light novel,12,2986,58381,3825,183,summer,2024
55996,Koi wa Futago de Warikirenai,Love Is Indivisible by Twins,"Jun Shirasaki and the Jinguuji sisters are childhood friends and neighbors. When Jun's first girlfriend, the older sister Rumi, breaks up with him, she says something that complicates the three people's relationship, their first loves, and their romance—?

(Source: MAL News)","Comedy, Romance",Finished Airing,6.31,16563,TV,Light novel,12,3068,55414,8077,193,summer,2024
56196,Boku no Hero Academia the Movie 4: You're Next,My Hero Academia: You're Next,The fourth Boku no Hero Academia movie.,Action,Finished Airing,7.47,4097,Movie,Manga,1,3080,54940,2010,182,,
